,id,songs,song,artist,energy,dance,liveness,valence,tempo,instrumental,acoustic,popularity,genres
0,1,Blinding Lights The Weeknd,Blinding Lights,The Weeknd,0.73,0.514,0.0897,0.334,171.005,9.54e-05,0.00146,91,"['canadian contemporary r&b', 'canadian pop', 'pop']"
1,2,Circles Post Malone,Circles,Post Malone,0.762,0.695,0.0863,0.553,120.042,0.00244,0.192,86,"['dfw rap', 'melodic rap', 'rap']"
2,3,The Box Roddy Ricch,The Box,Roddy Ricch,0.586,0.896,0.79,0.642,116.971,0,0.104,82,"['melodic rap', 'rap', 'trap']"
3,4,Don't Start Now Dua Lipa,Don't Start Now,Dua Lipa,0.793,0.793,0.0951,0.679,123.95,0,0.0123,83,"['dance pop', 'pop', 'uk pop']"
4,5,Rockstar DaBaby featuring Roddy Ricch,Rockstar DaBaby featuring Roddy Ricch,,,,,,,,,,
5,6,Adore You Harry Styles,Adore You,Harry Styles,0.771,0.676,0.102,0.569,99.048,7e-06,0.0237,85,['pop']
6,7,Life Is Good Future featuring Drake,Life Is Good Future featuring Drake,,,,,,,,,,
7,8,Memories Maroon 5,Memories,Maroon 5,0.327,0.775,0.0821,0.595,91.05,0,0.841,86,"['pop', 'pop rock']"
8,9,The Bones Maren Morris,The Bones,Maren Morris,0.57,0.612,0.0963,0.334,77.004,0,0.278,77,"['contemporary country', 'country', 'texas country']"
9,10,Someone You Loved Lewis Capaldi,Someone You Loved,Lewis Capaldi,0.405,0.501,0.105,0.446,109.891,0,0.751,86,"['pop', 'uk pop']"
